Simplifier,Pinyin,Catégorie Grammaticale,Traduction,Traditionnel
补,bu3,verbe ," racommoder,rapiécer ; compléter ; tonifier,fortifier ",補 
补习,bu3xi2,verbe,prendre des cours de rattrapage,補習 
补衣服,bu3yi1fu,groupe verbal,racommoder un vêtement,補衣服 
补身体,bu3shen1ti3,groupe verbal,fortifier la santé,不身體 
补充,bu3chong1,verbe ," compléter,ajouter ",補充 
输,shu1,verbe,transporter ; perdre,輸 
动输,dong4shu1,verbe ; nom ," transporter,transport ",动輸 
输牌,shu1pai2,groupe verbal,perdre à un jeu de cartes,輸牌 
尽,jin3,préposition,le plus possible,盡 
尽量,jin3liang4,adverbe,autant que possible,盡量 
尽早,jin3zao3,adverbe,le plus tôt possible,盡早 
尽快,jin3kuai4,adverbe,le plus rapidement possible,盡快 
琴,qin2,nom,instrument de musique,琴 
小提琴,xiao3ti2qin2,nom,violon,小提琴 
钢琴,gang1qin2,nom,piano,鋼琴 
古琴,gu3qin2,nom,instrument à 7 cordes,古琴 
落,luo4,verbe,tomber ; baisser ; perdre,落 
落后,luo4hou4,verbe,être en retard,落後 
失落,shi1luo4,adjectif,déçu,失落 
逼,bi1,verbe ," forcer,pousser ; presser ; exiger ",逼 
逼婚,bi1hun1,verbe,contraindre à un mariage,逼婚 
逼问,bi1wen2,verbe,presser qqn de questions,逼問 
逼迫,bi1po2,verbe,forcer qqn à faire qqch,逼迫 
器,qi4,nom ," machine ; ustensile,appareil ",器 
机器,ji1qi4,nom,machine,機器 
器具,qi4ju4,nom ," ustensile,appareil ",器具 
家用电器,jia1yong1dian4qi4,nom,appareils ménagers,家用電器 
偷,tou1,verbe ; adverbe,voler ; en cachette,偷 
小偷,xiao3tou1,nom,voleur,小偷 
偷看,tou1kan4,verbe,regarder en cachette,偷看 
偷听,tou1ting1,verbe,écouter en cachette,偷聽 
顺,shun4,verbe ; adjectif ," suivre ; longer ; en passant ; propice,favorable ; se conformer à ",順 
一路顺风,yi1lu4shun4feng1,expression,bon voyage,一路順風 
顺其自然,shun4qi2zi4ran2,expression,suivre sa nature,順其自然 
顺便,shun4bian4,adverbe,en passaent,順便 
顺利,shun4li4,adjectif,sans encombre,順利 
顺从,shun4cong2,verbe,se conformer à,順從 
悔,hui3,verbe ," regretter,se repentir ",悔 
后悔,hou4hui3,verbe,regretter,後悔 
悔改,hui3gai3,verbe ," se repentir,se corriger ",悔改 
童,tong2,nom,enfant,童 
童年,tong2nian2,nom,enfance,童年 
儿童,er2tong2,nom,enfant,兒童 
童裝,tong2zhuang1,nom,vêtement pour enfant,童裝 
童话,tong2hua4,nom,conte pour enfant,童話 
良,liang2,nom ; qualificatif ," bon,excellent ",良 
良好,liang2hao3,qualificatif,bon,良好 
良心,liang2xin1,nom,conscience,良心 
优良,you1liang2,qualificatif ," bon,excellent ",優良 
怜,lian2,verbe ," compatir à,avoir pitié de ",憐 
可怜,ke3lian2,adjectif,pitoyable,可憐 
减,jian3,verbe ," soustraire,diminuer ",減 
减少,jian3shao3,verbe,diminuer,減少 
减轻,jian3qing1,verbe,alléger,減輕 
减//价,jian3//jia4,verbe,baisser le prix,減//價 
升,sheng1,verbe ," s'élever,monter ",昇 
上升,shang4sheng1,verbe ," s'élever,monter ",上昇 
升学,sheng1xue2,verbe ,passer dans la classe supérieur,升學 
率,lü4,nom,taux,率 
升学率,sheng1xue2lü4,nom,taux de passage dans la classe supérieure,升学率 
出生率,chu1sheng1lü4,nom,taux de natalité,出生率 
